option_id,question_id,option_key,option_text,display_order,is_correct
opt_000001,q_emt_000001,A,Airway compromise,1,True
opt_000002,q_emt_000001,B,Mild anxiety,2,False
opt_000003,q_emt_000001,C,Normal skin color,3,False
opt_000004,q_emt_000001,D,Stable vital signs,4,False
opt_000005,q_emt_000002,A,Ask a detailed medication history,1,False
opt_000006,q_emt_000002,B,Perform a primary assessment and correct life threats,2,True
opt_000007,q_emt_000002,C,Complete the refusal form,3,False
opt_000008,q_emt_000002,D,Wait for ALS before touching the patient,4,False
opt_000009,q_emt_000003,A,Hypotension,1,True
opt_000010,q_emt_000003,B,Mild isolated nausea,2,False
opt_000011,q_emt_000003,C,Altered mental status,3,True
opt_000012,q_emt_000003,D,Normal capillary refill,4,False
opt_000013,q_emt_000004,A,Finish the narrative,1,False
opt_000014,q_emt_000004,B,Call the supervisor first,2,False
opt_000015,q_emt_000004,C,Ignore changes if destination is close,3,False
opt_000016,q_emt_000004,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000017,q_emt_000005,A,Trend in vitals and response to treatment,1,True
opt_000018,q_emt_000005,B,Your lunch status,2,False
opt_000019,q_emt_000005,C,Unverified bystander rumor,3,False
opt_000020,q_emt_000005,D,Exact brand of stretcher,4,False
opt_000021,q_emt_000006,A,Airway compromise,1,True
opt_000022,q_emt_000006,B,Mild anxiety,2,False
opt_000023,q_emt_000006,C,Normal skin color,3,False
opt_000024,q_emt_000006,D,Stable vital signs,4,False
opt_000025,q_emt_000007,A,Ask a detailed medication history,1,False
opt_000026,q_emt_000007,B,Perform a primary assessment and correct life threats,2,True
opt_000027,q_emt_000007,C,Complete the refusal form,3,False
opt_000028,q_emt_000007,D,Wait for ALS before touching the patient,4,False
opt_000029,q_emt_000008,A,Hypotension,1,True
opt_000030,q_emt_000008,B,Mild isolated nausea,2,False
opt_000031,q_emt_000008,C,Altered mental status,3,True
opt_000032,q_emt_000008,D,Normal capillary refill,4,False
opt_000033,q_emt_000009,A,Finish the narrative,1,False
opt_000034,q_emt_000009,B,Call the supervisor first,2,False
opt_000035,q_emt_000009,C,Ignore changes if destination is close,3,False
opt_000036,q_emt_000009,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000037,q_emt_000010,A,Trend in vitals and response to treatment,1,True
opt_000038,q_emt_000010,B,Your lunch status,2,False
opt_000039,q_emt_000010,C,Unverified bystander rumor,3,False
opt_000040,q_emt_000010,D,Exact brand of stretcher,4,False
opt_000041,q_emt_000011,A,Airway compromise,1,True
opt_000042,q_emt_000011,B,Mild anxiety,2,False
opt_000043,q_emt_000011,C,Normal skin color,3,False
opt_000044,q_emt_000011,D,Stable vital signs,4,False
opt_000045,q_emt_000012,A,Ask a detailed medication history,1,False
opt_000046,q_emt_000012,B,Perform a primary assessment and correct life threats,2,True
opt_000047,q_emt_000012,C,Complete the refusal form,3,False
opt_000048,q_emt_000012,D,Wait for ALS before touching the patient,4,False
opt_000049,q_emt_000013,A,Hypotension,1,True
opt_000050,q_emt_000013,B,Mild isolated nausea,2,False
opt_000051,q_emt_000013,C,Altered mental status,3,True
opt_000052,q_emt_000013,D,Normal capillary refill,4,False
opt_000053,q_emt_000014,A,Finish the narrative,1,False
opt_000054,q_emt_000014,B,Call the supervisor first,2,False
opt_000055,q_emt_000014,C,Ignore changes if destination is close,3,False
opt_000056,q_emt_000014,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000057,q_emt_000015,A,Trend in vitals and response to treatment,1,True
opt_000058,q_emt_000015,B,Your lunch status,2,False
opt_000059,q_emt_000015,C,Unverified bystander rumor,3,False
opt_000060,q_emt_000015,D,Exact brand of stretcher,4,False
opt_000061,q_emt_000016,A,Airway compromise,1,True
opt_000062,q_emt_000016,B,Mild anxiety,2,False
opt_000063,q_emt_000016,C,Normal skin color,3,False
opt_000064,q_emt_000016,D,Stable vital signs,4,False
opt_000065,q_emt_000017,A,Ask a detailed medication history,1,False
opt_000066,q_emt_000017,B,Perform a primary assessment and correct life threats,2,True
opt_000067,q_emt_000017,C,Complete the refusal form,3,False
opt_000068,q_emt_000017,D,Wait for ALS before touching the patient,4,False
opt_000069,q_emt_000018,A,Hypotension,1,True
opt_000070,q_emt_000018,B,Mild isolated nausea,2,False
opt_000071,q_emt_000018,C,Altered mental status,3,True
opt_000072,q_emt_000018,D,Normal capillary refill,4,False
opt_000073,q_emt_000019,A,Finish the narrative,1,False
opt_000074,q_emt_000019,B,Call the supervisor first,2,False
opt_000075,q_emt_000019,C,Ignore changes if destination is close,3,False
opt_000076,q_emt_000019,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000077,q_emt_000020,A,Trend in vitals and response to treatment,1,True
opt_000078,q_emt_000020,B,Your lunch status,2,False
opt_000079,q_emt_000020,C,Unverified bystander rumor,3,False
opt_000080,q_emt_000020,D,Exact brand of stretcher,4,False
opt_000081,q_emt_000021,A,Airway compromise,1,True
opt_000082,q_emt_000021,B,Mild anxiety,2,False
opt_000083,q_emt_000021,C,Normal skin color,3,False
opt_000084,q_emt_000021,D,Stable vital signs,4,False
opt_000085,q_emt_000022,A,Ask a detailed medication history,1,False
opt_000086,q_emt_000022,B,Perform a primary assessment and correct life threats,2,True
opt_000087,q_emt_000022,C,Complete the refusal form,3,False
opt_000088,q_emt_000022,D,Wait for ALS before touching the patient,4,False
opt_000089,q_emt_000023,A,Hypotension,1,True
opt_000090,q_emt_000023,B,Mild isolated nausea,2,False
opt_000091,q_emt_000023,C,Altered mental status,3,True
opt_000092,q_emt_000023,D,Normal capillary refill,4,False
opt_000093,q_emt_000024,A,Finish the narrative,1,False
opt_000094,q_emt_000024,B,Call the supervisor first,2,False
opt_000095,q_emt_000024,C,Ignore changes if destination is close,3,False
opt_000096,q_emt_000024,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000097,q_emt_000025,A,Trend in vitals and response to treatment,1,True
opt_000098,q_emt_000025,B,Your lunch status,2,False
opt_000099,q_emt_000025,C,Unverified bystander rumor,3,False
opt_000100,q_emt_000025,D,Exact brand of stretcher,4,False
opt_000101,q_emt_000026,A,Airway compromise,1,True
opt_000102,q_emt_000026,B,Mild anxiety,2,False
opt_000103,q_emt_000026,C,Normal skin color,3,False
opt_000104,q_emt_000026,D,Stable vital signs,4,False
opt_000105,q_emt_000027,A,Ask a detailed medication history,1,False
opt_000106,q_emt_000027,B,Perform a primary assessment and correct life threats,2,True
opt_000107,q_emt_000027,C,Complete the refusal form,3,False
opt_000108,q_emt_000027,D,Wait for ALS before touching the patient,4,False
opt_000109,q_emt_000028,A,Hypotension,1,True
opt_000110,q_emt_000028,B,Mild isolated nausea,2,False
opt_000111,q_emt_000028,C,Altered mental status,3,True
opt_000112,q_emt_000028,D,Normal capillary refill,4,False
opt_000113,q_emt_000029,A,Finish the narrative,1,False
opt_000114,q_emt_000029,B,Call the supervisor first,2,False
opt_000115,q_emt_000029,C,Ignore changes if destination is close,3,False
opt_000116,q_emt_000029,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000117,q_emt_000030,A,Trend in vitals and response to treatment,1,True
opt_000118,q_emt_000030,B,Your lunch status,2,False
opt_000119,q_emt_000030,C,Unverified bystander rumor,3,False
opt_000120,q_emt_000030,D,Exact brand of stretcher,4,False
opt_000121,q_emt_000031,A,Airway compromise,1,True
opt_000122,q_emt_000031,B,Mild anxiety,2,False
opt_000123,q_emt_000031,C,Normal skin color,3,False
opt_000124,q_emt_000031,D,Stable vital signs,4,False
opt_000125,q_emt_000032,A,Ask a detailed medication history,1,False
opt_000126,q_emt_000032,B,Perform a primary assessment and correct life threats,2,True
opt_000127,q_emt_000032,C,Complete the refusal form,3,False
