reference_id,source_type,organisation,title,edition_or_year,section_or_page_if_known,jurisdiction,authority_level,last_verified,licence_note,source_url
ref_000001,scope,NHTSA / EMS.gov,National EMS Scope of Practice Model,2019,,United States,1,2026-05-01,Public national scope framework; verify state scope before implementation.,https://www.ems.gov/assets/National_EMS_Scope_of_Practice_Model_2019.pdf
ref_000002,education_standard,NHTSA / EMS.gov,National EMS Education Standards,2021,,United States,1,2026-05-01,National minimum competency framework.,https://www.ems.gov/pdf/EMS_Education_Standards_2021_v22.pdf
ref_000003,instructional_guidance,NHTSA / EMS.gov,EMT Instructional Guidelines,2009,,United States,2,2026-05-01,Official legacy instructional guidance for EMT-level content.,https://www.ems.gov/assets/EMT_Instructional_Guidelines.pdf
ref_000004,test_plan,NREMT,EMR and EMT Certification Examinations,Current public page,,United States,1,2026-05-01,Use for public blueprint alignment only; do not copy exam items.,https://www.nremt.org/Pages/Examinations/EMR-and-EMT-Certification-Examinations
ref_000005,test_plan,NREMT,AEMT Test Plan Public Final,Current public PDF,,United States,1,2026-05-01,Use for AEMT blueprint alignment only.,https://www.nremt.org/getmedia/ae90d9db-c974-49e1-a43b-f1dddd4ea365/AEMT-Test-Plan_Public_final.pdf
ref_000006,test_plan,NREMT,AEMT and Paramedic Certification Examinations,Current public page,,United States,1,2026-05-01,Use for ALS and clinical judgement blueprint alignment.,https://www.nremt.org/Pages/Examinations/AEMT-and-Paramedic-Certification-Examinations
ref_000007,guideline,American Heart Association,CPR and ECC Guidelines,2025,,United States,1,2026-05-01,Resuscitation science guidance; do not bulk-copy copyrighted figures/algorithms without permission.,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines
ref_000008,guideline,NASEMSO,National Model EMS Clinical Guidelines,2022,,United States,2,2026-05-01,Model EMS guideline logic; local protocols may differ.,https://nasemso.org/wp-content/uploads/National-Model-EMS-Clinical-Guidelines_2022.pdf
ref_000009,dataset,PhysioNet,MIT-BIH Arrhythmia Database,Open access,,Global,3,2026-05-01,ECG rhythm source data with licensing/attribution requirements.,https://physionet.org/content/mitdb/
ref_000010,dataset,PhysioNet,PTB-XL ECG Database,1.0.2,,Global,3,2026-05-01,12-lead ECG waveform dataset; verify license attribution.,https://physionet.org/content/ptb-xl/1.0.2/
ref_000011,dataset,PhysioNet,CirCor DigiScope Phonocardiogram Dataset,1.0.3,,Global,3,2026-05-01,Heart sound dataset; verify license attribution.,https://physionet.org/content/circor-heart-sound/1.0.3/
ref_000012,toolkit,EMSC Innovation and Improvement Center,Prehospital Pediatric Readiness Resources,Current,,United States,2,2026-05-01,"Pediatric readiness, equipment, checklists, and improvement resources.",https://emscimprovement.center/domains/prehospital-care/prehospital-pediatric-readiness/resources/
ref_000013,platform,OpenAI,API authentication and server-side key handling,Current,,Global,4,2026-05-01,Use environment variables/secrets; never expose API key client-side.,https://platform.openai.com/docs/api-reference/authentication
ref_000014,platform,Replit,Replit Agent documentation,Current,,Global,4,2026-05-01,Use for Replit Agent build and deployment setup.,https://docs.replit.com/replitai/agent
ref_000015,platform,Replit,Replit Secrets,Current,,Global,4,2026-05-01,Store API keys in encrypted secrets.,https://docs.replit.com/replit-workspace/workspace-features/secrets
