foundation_id,cluster,title,short_summary,core_concepts,mnemonic,difficulty_1_to_5,revisit_priority
fdn_000001,ap,Cardiovascular anatomy,"Heart chambers, valves, vessels, blood flow, coronary perfusion, and cardiac output.",CO = HR x SV,2,1,
fdn_000002,ap,Respiratory anatomy,"Upper/lower airway, alveoli, diffusion, ventilation, oxygenation, and perfusion.",V/Q matters,2,1,
fdn_000003,ap,Neurologic anatomy,"Brain regions, spinal cord, peripheral nerves, GCS concepts, and perfusion needs.",FAST/GCS,2,2,
fdn_000004,ap,Musculoskeletal anatomy,"Bones, joints, muscles, soft tissue, fracture patterns, splinting principles.",PMS before and after,1,2,
fdn_000005,ap,GI/GU anatomy,"Abdominal quadrants, digestive organs, kidneys, fluid/electrolyte basics.",Quadrants guide differentials,2,3,
fdn_000006,ap,OB reproductive anatomy,"Pregnancy physiology, placenta, uterus, delivery stages, neonatal transition.",Two patients,3,2,
fdn_000007,terminology,Medical word roots,"Common prefixes, suffixes, and roots used in EMS charting and communication.",Break the word,1,1,
fdn_000008,abbreviations,EMS abbreviations,"AOx, GCS, PEARRL, DCAP-BTLS, OPQRST, SAMPLE, MIST, SBAR, ROSC.",Spell out if unclear,1,1,
fdn_000009,pathophysiology,Shock physiology,"Failure of oxygen delivery from pump, volume, container, or obstruction problems.",Shock = perfusion problem,3,1,
fdn_000010,pathophysiology,Respiratory failure,"Distinguish distress, failure, oxygenation failure, and ventilation failure.",Work of breathing tells story,3,1,
fdn_000011,pharmacology,Medication safety basics,"Right patient, medication, dose, route, time, indication, contraindications, reassessment.",Rights + reassessment,2,1,
fdn_000012,pharmacology,Receptor basics,"Alpha, beta, muscarinic, opioid, and adrenergic effects relevant to EMS meds.",Receptors explain side effects,3,3,
fdn_000013,med_math,Weight conversion,Convert pounds to kilograms and use kg for pediatric medication and equipment safety.,lb / 2.2 = kg,1,1,
fdn_000014,med_math,Concentration math,"mg/mL, mcg/mL, dose volume, infusions, drip factors, and pump rates.",Dose wanted / concentration,3,2,
fdn_000015,communication_documentation,Radio reports,"Concise age, sex, chief complaint, assessment, treatment, response, ETA.",Paint the picture fast,1,1,
fdn_000016,legal_ethics,Consent and refusal,"Expressed/implied consent, capacity, informed refusal, documentation, witness use.",Capacity first,2,1,
fdn_000017,safety_wellness,Provider safety,"Scene safety, PPE, traffic, violence, lifting, fatigue, stress injury, and peer support.",Don’t become patient two,1,1,
fdn_000018,lifespan,Pediatric differences,"Airway, respiratory reserve, bradycardia, compensated shock, dosing, family presence.",Kids crash respiratory first,3,1,
fdn_000019,public_health,EMS public health role,"Surveillance, prevention, overdose trends, injury prevention, and community paramedicine.",EMS sees patterns early,2,3,
fdn_000020,ebm,Evidence-based EMS,"Why guidelines change, source hierarchy, local medical direction, and QA/QI feedback.",Guidelines are living,2,3,
