step_id,scenario_id,phase,cue_text,data_payload_json,expected_action,scope_allowed,dangerous_wrong_action,consequence_text,next_default_step_id
step_000001,scn_emt_000001,dispatch,Dispatch: Respiratory distress with wheezing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform dispatch tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000002
step_000002,scn_emt_000001,arrival,Arrival: Respiratory distress with wheezing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform arrival tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000003
step_000003,scn_emt_000001,scene_size_up,Scene Size Up: Respiratory distress with wheezing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform scene size up tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000004
step_000004,scn_emt_000001,primary,Primary: Respiratory distress with wheezing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform primary tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000005
step_000005,scn_emt_000001,immediate_interventions,Immediate Interventions: Respiratory distress with wheezing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform immediate interventions tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000006
step_000006,scn_emt_000001,secondary,Secondary: Respiratory distress with wheezing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform secondary tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000007
step_000007,scn_emt_000001,reassessment,Reassessment: Respiratory distress with wheezing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform reassessment tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000008
step_000008,scn_emt_000001,transport,Transport: Respiratory distress with wheezing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform transport tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000009
step_000009,scn_emt_000001,handoff,Handoff: Respiratory distress with wheezing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform handoff tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000010
step_000010,scn_emt_000001,debrief,Debrief: Respiratory distress with wheezing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform debrief tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,
step_000011,scn_emt_000002,dispatch,Dispatch: Pediatric croup-like breathing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform dispatch tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000012
step_000012,scn_emt_000002,arrival,Arrival: Pediatric croup-like breathing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform arrival tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000013
step_000013,scn_emt_000002,scene_size_up,Scene Size Up: Pediatric croup-like breathing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform scene size up tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000014
