lesson_id,module_id,taxonomy_id,level,title,short_summary,why_it_matters,must_know_points,red_flags,contraindications_or_dangers,common_mistakes,field_pearls,difficulty_1_to_5,verification_status,review_date,national_vs_local_flag,deprecated_flag
les_emt_000001,mod_emt_000012,tax_000002,emt,Assessment priorities for airway anatomy,"Learn how to identify, prioritize, and manage airway anatomy at the EMT level.",Airway Anatomy matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000002,mod_emt_000012,tax_000002,emt,Recognition and red flags in airway anatomy,"Learn how to identify, prioritize, and manage airway anatomy at the EMT level.",Airway Anatomy matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000003,mod_emt_000012,tax_000003,emt,Assessment priorities for airway assessment,"Learn how to identify, prioritize, and manage airway assessment at the EMT level.",Airway Assessment matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000004,mod_emt_000012,tax_000003,emt,Recognition and red flags in airway assessment,"Learn how to identify, prioritize, and manage airway assessment at the EMT level.",Airway Assessment matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000005,mod_emt_000012,tax_000004,emt,Assessment priorities for oxygen delivery,"Learn how to identify, prioritize, and manage oxygen delivery at the EMT level.",Oxygen Delivery matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000006,mod_emt_000012,tax_000004,emt,Recognition and red flags in oxygen delivery,"Learn how to identify, prioritize, and manage oxygen delivery at the EMT level.",Oxygen Delivery matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000007,mod_emt_000012,tax_000005,emt,Assessment priorities for bvm ventilation,"Learn how to identify, prioritize, and manage bvm ventilation at the EMT level.",Bvm Ventilation matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000008,mod_emt_000012,tax_000005,emt,Recognition and red flags in bvm ventilation,"Learn how to identify, prioritize, and manage bvm ventilation at the EMT level.",Bvm Ventilation matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000009,mod_emt_000012,tax_000006,emt,Assessment priorities for suctioning,"Learn how to identify, prioritize, and manage suctioning at the EMT level.",Suctioning matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000010,mod_emt_000012,tax_000006,emt,Recognition and red flags in suctioning,"Learn how to identify, prioritize, and manage suctioning at the EMT level.",Suctioning matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000011,mod_emt_000012,tax_000007,emt,Assessment priorities for adjuncts,"Learn how to identify, prioritize, and manage adjuncts at the EMT level.",Adjuncts matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000012,mod_emt_000012,tax_000007,emt,Recognition and red flags in adjuncts,"Learn how to identify, prioritize, and manage adjuncts at the EMT level.",Adjuncts matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000013,mod_emt_000012,tax_000008,emt,Assessment priorities for cpap,"Learn how to identify, prioritize, and manage cpap at the EMT level.",Cpap matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
