frm_id,source_content_type,source_content_id,foundation_id,relation_type,why_this_foundation_matters_here,trigger_threshold,weak_area_followup
frm_000001,lesson,les_emt_000001,fdn_000002,prerequisite,Foundation supports safe interpretation of airway anatomy cases.,70,Assign foundation review and two related questions.
frm_000002,lesson,les_emt_000002,fdn_000003,prerequisite,Foundation supports safe interpretation of airway anatomy cases.,70,Assign foundation review and two related questions.
frm_000003,lesson,les_emt_000003,fdn_000004,prerequisite,Foundation supports safe interpretation of airway assessment cases.,70,Assign foundation review and two related questions.
frm_000004,lesson,les_emt_000004,fdn_000005,prerequisite,Foundation supports safe interpretation of airway assessment cases.,70,Assign foundation review and two related questions.
frm_000005,lesson,les_emt_000005,fdn_000006,prerequisite,Foundation supports safe interpretation of oxygen delivery cases.,70,Assign foundation review and two related questions.
frm_000006,lesson,les_emt_000006,fdn_000007,prerequisite,Foundation supports safe interpretation of oxygen delivery cases.,70,Assign foundation review and two related questions.
frm_000007,lesson,les_emt_000007,fdn_000008,prerequisite,Foundation supports safe interpretation of bvm ventilation cases.,70,Assign foundation review and two related questions.
frm_000008,lesson,les_emt_000008,fdn_000009,prerequisite,Foundation supports safe interpretation of bvm ventilation cases.,70,Assign foundation review and two related questions.
frm_000009,lesson,les_emt_000009,fdn_000010,prerequisite,Foundation supports safe interpretation of suctioning cases.,70,Assign foundation review and two related questions.
frm_000010,lesson,les_emt_000010,fdn_000011,prerequisite,Foundation supports safe interpretation of suctioning cases.,70,Assign foundation review and two related questions.
frm_000011,lesson,les_emt_000011,fdn_000012,prerequisite,Foundation supports safe interpretation of adjuncts cases.,70,Assign foundation review and two related questions.
frm_000012,lesson,les_emt_000012,fdn_000013,prerequisite,Foundation supports safe interpretation of adjuncts cases.,70,Assign foundation review and two related questions.
frm_000013,lesson,les_emt_000013,fdn_000014,prerequisite,Foundation supports safe interpretation of cpap cases.,70,Assign foundation review and two related questions.
frm_000014,lesson,les_emt_000014,fdn_000015,prerequisite,Foundation supports safe interpretation of cpap cases.,70,Assign foundation review and two related questions.
frm_000015,lesson,les_emt_000015,fdn_000016,prerequisite,Foundation supports safe interpretation of respiratory distress cases.,70,Assign foundation review and two related questions.
frm_000016,lesson,les_emt_000016,fdn_000017,prerequisite,Foundation supports safe interpretation of respiratory distress cases.,70,Assign foundation review and two related questions.
frm_000017,lesson,les_emt_000017,fdn_000018,prerequisite,Foundation supports safe interpretation of asthma copd cases.,70,Assign foundation review and two related questions.
frm_000018,lesson,les_emt_000018,fdn_000019,prerequisite,Foundation supports safe interpretation of asthma copd cases.,70,Assign foundation review and two related questions.
