ecg_id,taxonomy_id,rhythm_name,ecg_type,difficulty_1_to_5,source_leads,strip_duration_sec,identification_pearls,common_confusions,immediate_priorities,treatment_considerations_by_level,verification_status
ecg_000001,,Normal sinus rhythm,rhythm_strip,1,II,6,"Regular rhythm, upright P before each QRS, rate 60-100.","Sinus tachycardia, wandering baseline","Treat patient, not monitor.",EMT recognize normal monitor trend; paramedic interpret in clinical context.,draft
ecg_000002,,Sinus bradycardia,rhythm_strip,2,II,6,Sinus rhythm with rate under 60.,"AV block, athlete normal variant",Assess perfusion and symptoms.,ALS evaluates unstable bradycardia per protocol.,draft
ecg_000003,,Sinus tachycardia,rhythm_strip,2,II,6,Sinus rhythm with rate over 100.,"SVT, atrial flutter","Search for cause: pain, fever, hypovolemia, anxiety, hypoxia.",Treat underlying cause by level.,draft
ecg_000004,,Atrial fibrillation,rhythm_strip,3,II,6,Irregularly irregular rhythm without consistent P waves.,"Atrial flutter with variable conduction, artifact","Assess rate, perfusion, chest pain, stroke risk.",ALS rate/rhythm management per protocol.,draft
ecg_000005,,SVT narrow complex,rhythm_strip,3,II,6,Very regular narrow tachycardia often >150.,Sinus tachycardia,Assess stability.,Paramedic vagal/adenosine/cardioversion per protocol.,draft
ecg_000006,,Monomorphic VT with pulse,rhythm_strip,4,II/V1,6,"Wide regular tachycardia, same morphology.",SVT with aberrancy,Treat as VT if uncertain and unstable.,ALS cardioversion/amiodarone per protocol.,draft
ecg_000007,,Ventricular fibrillation,rhythm_strip,4,II,6,"Chaotic waveform, no organized QRS.",Artifact,Confirm patient/pulse; defibrillate if pulseless.,High-quality CPR and defibrillation.,draft
ecg_000008,,Asystole,rhythm_strip,3,II,6,Near-flat line in multiple leads.,"Loose lead, low amplitude VF","Confirm leads/patient, CPR.",No shock; CPR/epinephrine per protocol.,draft
ecg_000009,,PEA,rhythm_strip,4,Any,6,Organized rhythm with no pulse.,Profound shock with weak pulse,"Confirm pulselessness, CPR, reversible causes.",H's and T's.,draft
ecg_000010,,Inferior STEMI pattern,twelve_lead,4,II III aVF,10,"ST elevation in inferior leads, reciprocal changes possible.","Pericarditis, early repolarization","Aspirin if allowed, transmit, STEMI alert per protocol.",Assess RV involvement before nitro.,draft
ecg_000011,,Anterior STEMI pattern,twelve_lead,4,V1-V4,10,ST elevation anterior precordial leads.,"LVH, early repolarization",Rapid recognition and reperfusion pathway.,Monitor for dysrhythmia/shock.,draft
ecg_000012,,Hyperkalemia pattern,twelve_lead,5,12-lead,10,"Tall peaked T waves, widening QRS in severe cases.","STEMI, normal variant",High-risk medical emergency.,ALS calcium/bicarb/albuterol per protocol.,draft
