cref_id,content_type,content_id,reference_id,pinpoint_text,citation_priority
cref_000001,lesson,les_emt_000001,ref_000002,National EMS Education Standards alignment,1
cref_000002,lesson,les_emt_000002,ref_000002,National EMS Education Standards alignment,1
cref_000003,lesson,les_emt_000003,ref_000002,National EMS Education Standards alignment,1
cref_000004,lesson,les_emt_000004,ref_000002,National EMS Education Standards alignment,1
cref_000005,lesson,les_emt_000005,ref_000002,National EMS Education Standards alignment,1
cref_000006,lesson,les_emt_000006,ref_000002,National EMS Education Standards alignment,1
cref_000007,lesson,les_emt_000007,ref_000002,National EMS Education Standards alignment,1
cref_000008,lesson,les_emt_000008,ref_000002,National EMS Education Standards alignment,1
cref_000009,lesson,les_emt_000009,ref_000002,National EMS Education Standards alignment,1
cref_000010,lesson,les_emt_000010,ref_000002,National EMS Education Standards alignment,1
cref_000011,lesson,les_emt_000011,ref_000002,National EMS Education Standards alignment,1
cref_000012,lesson,les_emt_000012,ref_000002,National EMS Education Standards alignment,1
cref_000013,lesson,les_emt_000013,ref_000002,National EMS Education Standards alignment,1
cref_000014,lesson,les_emt_000014,ref_000002,National EMS Education Standards alignment,1
cref_000015,lesson,les_emt_000015,ref_000002,National EMS Education Standards alignment,1
cref_000016,lesson,les_emt_000016,ref_000002,National EMS Education Standards alignment,1
cref_000017,lesson,les_emt_000017,ref_000002,National EMS Education Standards alignment,1
cref_000018,lesson,les_emt_000018,ref_000002,National EMS Education Standards alignment,1
cref_000019,lesson,les_emt_000019,ref_000002,National EMS Education Standards alignment,1
cref_000020,lesson,les_emt_000020,ref_000002,National EMS Education Standards alignment,1
cref_000021,lesson,les_emt_000021,ref_000002,National EMS Education Standards alignment,1
cref_000022,lesson,les_emt_000022,ref_000002,National EMS Education Standards alignment,1
cref_000023,lesson,les_emt_000023,ref_000002,National EMS Education Standards alignment,1
cref_000024,lesson,les_emt_000024,ref_000002,National EMS Education Standards alignment,1
cref_000025,lesson,les_emt_000025,ref_000002,National EMS Education Standards alignment,1
cref_000026,lesson,les_emt_000026,ref_000002,National EMS Education Standards alignment,1
cref_000027,lesson,les_emt_000027,ref_000002,National EMS Education Standards alignment,1
cref_000028,lesson,les_emt_000028,ref_000002,National EMS Education Standards alignment,1
cref_000029,lesson,les_emt_000029,ref_000002,National EMS Education Standards alignment,1
cref_000030,lesson,les_emt_000030,ref_000002,National EMS Education Standards alignment,1
cref_000031,lesson,les_emt_000031,ref_000002,National EMS Education Standards alignment,1
cref_000032,lesson,les_emt_000032,ref_000002,National EMS Education Standards alignment,1
cref_000033,lesson,les_emt_000033,ref_000002,National EMS Education Standards alignment,1
cref_000034,lesson,les_emt_000034,ref_000002,National EMS Education Standards alignment,1
cref_000035,lesson,les_emt_000035,ref_000002,National EMS Education Standards alignment,1
cref_000036,lesson,les_emt_000036,ref_000002,National EMS Education Standards alignment,1
cref_000037,lesson,les_emt_000037,ref_000002,National EMS Education Standards alignment,1
cref_000038,lesson,les_emt_000038,ref_000002,National EMS Education Standards alignment,1
cref_000039,lesson,les_emt_000039,ref_000002,National EMS Education Standards alignment,1
cref_000040,lesson,les_emt_000040,ref_000002,National EMS Education Standards alignment,1
cref_000041,lesson,les_emt_000041,ref_000002,National EMS Education Standards alignment,1
cref_000042,lesson,les_emt_000042,ref_000002,National EMS Education Standards alignment,1
cref_000043,lesson,les_emt_000043,ref_000002,National EMS Education Standards alignment,1
cref_000044,lesson,les_emt_000044,ref_000002,National EMS Education Standards alignment,1
cref_000045,lesson,les_emt_000045,ref_000002,National EMS Education Standards alignment,1
cref_000046,lesson,les_emt_000046,ref_000002,National EMS Education Standards alignment,1
cref_000047,lesson,les_emt_000047,ref_000002,National EMS Education Standards alignment,1
cref_000048,lesson,les_emt_000048,ref_000002,National EMS Education Standards alignment,1
cref_000049,lesson,les_emt_000049,ref_000002,National EMS Education Standards alignment,1
cref_000050,lesson,les_emt_000050,ref_000002,National EMS Education Standards alignment,1
cref_000051,lesson,les_emt_000051,ref_000002,National EMS Education Standards alignment,1
cref_000052,lesson,les_emt_000052,ref_000002,National EMS Education Standards alignment,1
cref_000053,lesson,les_emt_000053,ref_000002,National EMS Education Standards alignment,1
cref_000054,lesson,les_emt_000054,ref_000002,National EMS Education Standards alignment,1
cref_000055,lesson,les_emt_000055,ref_000002,National EMS Education Standards alignment,1
cref_000056,lesson,les_emt_000056,ref_000002,National EMS Education Standards alignment,1
cref_000057,lesson,les_emt_000057,ref_000002,National EMS Education Standards alignment,1
cref_000058,lesson,les_emt_000058,ref_000002,National EMS Education Standards alignment,1
cref_000059,lesson,les_emt_000059,ref_000002,National EMS Education Standards alignment,1
cref_000060,lesson,les_emt_000060,ref_000002,National EMS Education Standards alignment,1
cref_000061,lesson,les_emt_000061,ref_000002,National EMS Education Standards alignment,1
cref_000062,lesson,les_emt_000062,ref_000002,National EMS Education Standards alignment,1
cref_000063,lesson,les_emt_000063,ref_000002,National EMS Education Standards alignment,1
cref_000064,lesson,les_emt_000064,ref_000002,National EMS Education Standards alignment,1
cref_000065,lesson,les_emt_000065,ref_000002,National EMS Education Standards alignment,1
cref_000066,lesson,les_emt_000066,ref_000002,National EMS Education Standards alignment,1
cref_000067,lesson,les_emt_000067,ref_000002,National EMS Education Standards alignment,1
cref_000068,lesson,les_emt_000068,ref_000002,National EMS Education Standards alignment,1
cref_000069,lesson,les_emt_000069,ref_000002,National EMS Education Standards alignment,1
cref_000070,lesson,les_emt_000070,ref_000002,National EMS Education Standards alignment,1
cref_000071,lesson,les_emt_000071,ref_000002,National EMS Education Standards alignment,1
cref_000072,lesson,les_emt_000072,ref_000002,National EMS Education Standards alignment,1
cref_000073,lesson,les_emt_000073,ref_000002,National EMS Education Standards alignment,1
cref_000074,lesson,les_emt_000074,ref_000002,National EMS Education Standards alignment,1
cref_000075,lesson,les_emt_000075,ref_000002,National EMS Education Standards alignment,1
cref_000076,lesson,les_emt_000076,ref_000002,National EMS Education Standards alignment,1
