branch_id,scenario_id,from_step_id,trigger_action_pattern,branch_condition,to_step_id,consequence_severity,debrief_note
br_000001,scn_emt_000001,step_000004,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000005,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000002,scn_emt_000001,step_000005,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000006,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000003,scn_emt_000001,step_000007,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000008,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000004,scn_emt_000002,step_000014,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000015,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000005,scn_emt_000002,step_000015,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000016,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000006,scn_emt_000002,step_000017,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000018,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000007,scn_emt_000003,step_000024,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000025,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000008,scn_emt_000003,step_000025,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000026,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000009,scn_emt_000003,step_000027,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000028,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000010,scn_emt_000004,step_000034,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000035,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000011,scn_emt_000004,step_000035,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000036,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000012,scn_emt_000004,step_000037,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000038,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000013,scn_emt_000005,step_000044,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000045,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000014,scn_emt_000005,step_000045,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000046,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000015,scn_emt_000005,step_000047,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000048,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000016,scn_emt_000006,step_000054,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000055,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000017,scn_emt_000006,step_000055,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000056,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000018,scn_emt_000006,step_000057,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000058,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000019,scn_emt_000007,step_000064,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000065,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000020,scn_emt_000007,step_000065,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000066,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000021,scn_emt_000007,step_000067,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000068,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000022,scn_emt_000008,step_000074,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000075,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000023,scn_emt_000008,step_000075,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000076,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000024,scn_emt_000008,step_000077,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000078,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000025,scn_emt_000009,step_000084,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000085,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000026,scn_emt_000009,step_000085,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000086,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000027,scn_emt_000009,step_000087,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000088,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000028,scn_emt_000010,step_000094,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000095,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000029,scn_emt_000010,step_000095,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000096,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000030,scn_emt_000010,step_000097,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000098,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000031,scn_emt_000011,step_000104,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000105,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000032,scn_emt_000011,step_000105,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000106,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000033,scn_emt_000011,step_000107,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000108,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000034,scn_emt_000012,step_000114,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000115,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000035,scn_emt_000012,step_000115,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000116,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000036,scn_emt_000012,step_000117,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000118,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000037,scn_emt_000013,step_000124,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000125,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000038,scn_emt_000013,step_000125,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000126,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000039,scn_emt_000013,step_000127,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000128,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000040,scn_emt_000014,step_000134,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000135,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000041,scn_emt_000014,step_000135,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000136,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000042,scn_emt_000014,step_000137,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000138,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000043,scn_emt_000015,step_000144,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000145,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000044,scn_emt_000015,step_000145,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000146,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000045,scn_emt_000015,step_000147,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000148,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000046,scn_emt_000016,step_000154,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000155,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000047,scn_emt_000016,step_000155,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000156,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000048,scn_emt_000016,step_000157,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000158,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000049,scn_emt_000017,step_000164,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000165,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000050,scn_emt_000017,step_000165,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000166,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000051,scn_emt_000017,step_000167,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000168,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000052,scn_emt_000018,step_000174,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000175,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000053,scn_emt_000018,step_000175,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000176,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000054,scn_emt_000018,step_000177,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000178,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000055,scn_emt_000019,step_000184,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000185,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000056,scn_emt_000019,step_000185,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000186,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000057,scn_emt_000019,step_000187,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000188,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000058,scn_emt_000020,step_000194,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000195,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000059,scn_emt_000020,step_000195,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000196,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000060,scn_emt_000020,step_000197,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000198,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000061,scn_emt_000021,step_000204,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000205,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000062,scn_emt_000021,step_000205,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000206,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000063,scn_emt_000021,step_000207,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000208,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000064,scn_emt_000022,step_000214,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000215,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000065,scn_emt_000022,step_000215,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000216,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000066,scn_emt_000022,step_000217,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000218,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000067,scn_emt_000023,step_000224,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000225,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000068,scn_emt_000023,step_000225,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000226,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000069,scn_emt_000023,step_000227,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000228,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000070,scn_emt_000024,step_000234,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000235,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000071,scn_emt_000024,step_000235,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000236,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000072,scn_emt_000024,step_000237,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000238,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000073,scn_emt_000025,step_000244,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000245,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000074,scn_emt_000025,step_000245,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000246,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000075,scn_emt_000025,step_000247,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000248,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000076,scn_emt_000026,step_000254,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000255,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000077,scn_emt_000026,step_000255,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000256,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000078,scn_emt_000026,step_000257,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000258,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000079,scn_emt_000027,step_000264,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000265,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000080,scn_emt_000027,step_000265,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000266,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000081,scn_emt_000027,step_000267,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000268,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000082,scn_emt_000028,step_000274,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000275,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000083,scn_emt_000028,step_000275,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000276,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000084,scn_emt_000028,step_000277,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000278,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000085,scn_emt_000029,step_000284,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000285,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000086,scn_emt_000029,step_000285,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000286,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000087,scn_emt_000029,step_000287,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000288,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000088,scn_emt_000030,step_000294,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000295,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000089,scn_emt_000030,step_000295,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000296,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000090,scn_emt_000030,step_000297,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000298,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000091,scn_emt_000031,step_000304,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000305,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000092,scn_emt_000031,step_000305,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000306,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000093,scn_emt_000031,step_000307,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000308,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000094,scn_emt_000032,step_000314,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000315,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000095,scn_emt_000032,step_000315,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000316,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000096,scn_emt_000032,step_000317,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000318,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000097,scn_emt_000033,step_000324,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000325,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000098,scn_emt_000033,step_000325,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000326,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000099,scn_emt_000033,step_000327,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000328,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000100,scn_emt_000034,step_000334,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000335,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000101,scn_emt_000034,step_000335,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000336,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000102,scn_emt_000034,step_000337,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000338,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000103,scn_emt_000035,step_000344,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000345,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000104,scn_emt_000035,step_000345,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000346,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000105,scn_emt_000035,step_000347,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000348,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000106,scn_emt_000036,step_000354,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000355,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000107,scn_emt_000036,step_000355,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000356,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000108,scn_emt_000036,step_000357,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000358,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000109,scn_emt_000037,step_000364,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000365,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000110,scn_emt_000037,step_000365,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000366,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000111,scn_emt_000037,step_000367,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000368,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000112,scn_emt_000038,step_000374,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000375,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000113,scn_emt_000038,step_000375,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000376,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000114,scn_emt_000038,step_000377,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000378,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000115,scn_emt_000039,step_000384,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000385,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000116,scn_emt_000039,step_000385,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000386,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000117,scn_emt_000039,step_000387,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000388,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000118,scn_emt_000040,step_000394,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000395,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000119,scn_emt_000040,step_000395,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000396,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000120,scn_emt_000040,step_000397,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000398,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000121,scn_emt_000041,step_000404,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000405,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000122,scn_emt_000041,step_000405,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000406,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000123,scn_emt_000041,step_000407,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000408,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000124,scn_emt_000042,step_000414,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000415,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000125,scn_emt_000042,step_000415,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000416,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000126,scn_emt_000042,step_000417,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000418,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000127,scn_emt_000043,step_000424,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000425,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000128,scn_emt_000043,step_000425,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000426,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000129,scn_emt_000043,step_000427,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000428,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000130,scn_emt_000044,step_000434,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000435,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000131,scn_emt_000044,step_000435,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000436,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000132,scn_emt_000044,step_000437,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000438,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000133,scn_emt_000045,step_000444,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000445,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000134,scn_emt_000045,step_000445,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000446,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000135,scn_emt_000045,step_000447,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000448,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000136,scn_emt_000046,step_000454,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000455,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000137,scn_emt_000046,step_000455,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000456,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
