scenario_id,taxonomy_id,level,age_group,special_population_flags,setting,dispatch_information,scene_cues,safety_hazards,initial_impression,difficulty_1_to_5,terminal_outcome_type,verification_status
scn_emt_000001,,emt,adult,,home,Adult with increasing dyspnea after cold symptoms.,Scene suggests respiratory distress with wheezing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,1,stabilise,draft
scn_emt_000002,,emt,preschool,,home,Child with barking cough and stridor at night.,Scene suggests pediatric croup-like breathing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,1,stabilise,draft
scn_emt_000003,,emt,adult,,public_place,Adult with pressure-like chest pain and nausea.,Scene suggests chest pain with diaphoresis; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,1,handover,draft
scn_emt_000004,,emt,adolescent,,public_place,"Young adult collapses after exertion, now awake but pale.",Scene suggests syncope at gym; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,1,handover,draft
scn_emt_000005,,emt,adult,,roadway,Driver with leg wound and windshield damage.,Scene suggests motor vehicle crash with bleeding; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,1,handover,draft
scn_emt_000006,,emt,older_adult,,home,Older adult fell from ladder with hip pain.,Scene suggests fall from height; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,1,handover,draft
scn_emt_000007,,emt,adult,,home,Confused patient with diaphoresis and slurred speech.,Scene suggests altered mental status diabetic; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,1,stabilise,draft
scn_emt_000008,,emt,adolescent,,school,Patient continues generalized seizure activity on arrival.,Scene suggests active seizure; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,1,stabilise,draft
scn_emt_000009,,emt,adult,,home,Pregnant patient with crowning and contractions.,Scene suggests imminent delivery; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,1,handover,draft
scn_emt_000010,,emt,school_age,pediatric,roadway,Multiple patients after low-speed bus collision.,Scene suggests mci school bus incident; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,1,debrief_only,draft
scn_emt_000011,,emt,adult,,home,Agitated patient in apartment with family on scene.,Scene suggests behavioral crisis with safety concern; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,1,refusal,draft
scn_emt_000012,,emt,older_adult,,mass_gathering,Adult with increasing dyspnea after cold symptoms.,Scene suggests respiratory distress with wheezing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,2,stabilise,draft
scn_emt_000013,,emt,neonate,pediatric,home,Child with barking cough and stridor at night.,Scene suggests pediatric croup-like breathing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,2,stabilise,draft
scn_emt_000014,,emt,infant,pediatric,public_place,Adult with pressure-like chest pain and nausea.,Scene suggests chest pain with diaphoresis; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,2,handover,draft
scn_emt_000015,,emt,toddler,pediatric,roadway,"Young adult collapses after exertion, now awake but pale.",Scene suggests syncope at gym; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,2,handover,draft
scn_emt_000016,,emt,school_age,pediatric,school,Driver with leg wound and windshield damage.,Scene suggests motor vehicle crash with bleeding; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,2,handover,draft
scn_emt_000017,,emt,adolescent,,long_term_care,Older adult fell from ladder with hip pain.,Scene suggests fall from height; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,2,handover,draft
scn_emt_000018,,emt,adult,,industrial,Confused patient with diaphoresis and slurred speech.,Scene suggests altered mental status diabetic; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,2,stabilise,draft
scn_emt_000019,,emt,older_adult,,mass_gathering,Patient continues generalized seizure activity on arrival.,Scene suggests active seizure; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,2,stabilise,draft
scn_emt_000020,,emt,neonate,pediatric,home,Pregnant patient with crowning and contractions.,Scene suggests imminent delivery; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,2,handover,draft
scn_emt_000021,,emt,infant,pediatric,public_place,Multiple patients after low-speed bus collision.,Scene suggests mci school bus incident; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,2,debrief_only,draft
scn_emt_000022,,emt,toddler,pediatric,roadway,Agitated patient in apartment with family on scene.,Scene suggests behavioral crisis with safety concern; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,2,refusal,draft
scn_emt_000023,,emt,adolescent,,long_term_care,Adult with increasing dyspnea after cold symptoms.,Scene suggests respiratory distress with wheezing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,3,stabilise,draft
scn_emt_000024,,emt,adult,,industrial,Child with barking cough and stridor at night.,Scene suggests pediatric croup-like breathing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,3,stabilise,draft
scn_emt_000025,,emt,older_adult,,mass_gathering,Adult with pressure-like chest pain and nausea.,Scene suggests chest pain with diaphoresis; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,3,handover,draft
scn_emt_000026,,emt,neonate,pediatric,home,"Young adult collapses after exertion, now awake but pale.",Scene suggests syncope at gym; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,3,handover,draft
scn_emt_000027,,emt,infant,pediatric,public_place,Driver with leg wound and windshield damage.,Scene suggests motor vehicle crash with bleeding; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,3,handover,draft
scn_emt_000028,,emt,toddler,pediatric,roadway,Older adult fell from ladder with hip pain.,Scene suggests fall from height; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,3,handover,draft
scn_emt_000029,,emt,school_age,pediatric,school,Confused patient with diaphoresis and slurred speech.,Scene suggests altered mental status diabetic; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,3,stabilise,draft
scn_emt_000030,,emt,adolescent,,long_term_care,Patient continues generalized seizure activity on arrival.,Scene suggests active seizure; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,3,stabilise,draft
scn_emt_000031,,emt,adult,,industrial,Pregnant patient with crowning and contractions.,Scene suggests imminent delivery; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,3,handover,draft
scn_emt_000032,,emt,older_adult,,mass_gathering,Multiple patients after low-speed bus collision.,Scene suggests mci school bus incident; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,3,debrief_only,draft
scn_emt_000033,,emt,neonate,pediatric,home,Agitated patient in apartment with family on scene.,Scene suggests behavioral crisis with safety concern; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,3,refusal,draft
scn_emt_000034,,emt,toddler,pediatric,roadway,Adult with increasing dyspnea after cold symptoms.,Scene suggests respiratory distress with wheezing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,4,stabilise,draft
scn_emt_000035,,emt,school_age,pediatric,school,Child with barking cough and stridor at night.,Scene suggests pediatric croup-like breathing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,4,stabilise,draft
scn_emt_000036,,emt,adolescent,,long_term_care,Adult with pressure-like chest pain and nausea.,Scene suggests chest pain with diaphoresis; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,4,handover,draft
scn_emt_000037,,emt,adult,,industrial,"Young adult collapses after exertion, now awake but pale.",Scene suggests syncope at gym; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,4,handover,draft
scn_emt_000038,,emt,older_adult,,mass_gathering,Driver with leg wound and windshield damage.,Scene suggests motor vehicle crash with bleeding; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,4,handover,draft
scn_emt_000039,,emt,neonate,pediatric,home,Older adult fell from ladder with hip pain.,Scene suggests fall from height; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,4,handover,draft
scn_emt_000040,,emt,infant,pediatric,public_place,Confused patient with diaphoresis and slurred speech.,Scene suggests altered mental status diabetic; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,4,stabilise,draft
scn_emt_000041,,emt,toddler,pediatric,roadway,Patient continues generalized seizure activity on arrival.,Scene suggests active seizure; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,4,stabilise,draft
