question_id,taxonomy_id,level,scenario_id_nullable,ecg_id_nullable,item_type,difficulty_1_to_5,cognitive_level,stem,answer_format,correct_answer_key,common_trap,remediation_rule_id_nullable,national_vs_local_flag,verification_status
q_emt_000001,,emt,scn_emt_000004,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Airway Assessment. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000002,core,draft
q_emt_000002,,emt,,,single_best_answer,2,application,"What is the best next action? Topic focus: Oxygen Delivery. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000003,core,draft
q_emt_000003,,emt,scn_emt_000010,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Bvm Ventilation. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000004,core,draft
q_emt_000004,,emt,,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Suctioning. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000005,core,draft
q_emt_000005,,emt,scn_emt_000016,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Adjuncts. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000006,core,draft
q_emt_000006,,emt,,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Cpap. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000007,core,draft
q_emt_000007,,emt,scn_emt_000022,,single_best_answer,2,application,"What is the best next action? Topic focus: Respiratory Distress. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000008,core,draft
q_emt_000008,,emt,,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Asthma Copd. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000009,core,draft
q_emt_000009,,emt,scn_emt_000028,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Pulmonary Edema. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000010,core,draft
q_emt_000010,,emt,,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Anaphylaxis Airway. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000011,core,draft
q_emt_000011,,emt,scn_emt_000034,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Ventilation Monitoring. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000012,core,draft
q_emt_000012,,emt,,,single_best_answer,2,application,"What is the best next action? Topic focus: Cardiac Anatomy. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000013,core,draft
q_emt_000013,,emt,scn_emt_000040,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Chest Pain. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000014,core,draft
q_emt_000014,,emt,,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Acs. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000015,core,draft
q_emt_000015,,emt,scn_emt_000046,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Heart Failure. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000016,core,draft
q_emt_000016,,emt,,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Cardiac Arrest. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000017,core,draft
q_emt_000017,,emt,scn_emt_000052,,single_best_answer,2,application,"What is the best next action? Topic focus: Bradycardia. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000018,core,draft
q_emt_000018,,emt,,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Tachycardia. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000019,core,draft
