rationale_id,question_id,option_id_nullable,rationale_type,rationale_text
rat_000001,q_emt_000001,opt_000001,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000002,q_emt_000001,opt_000002,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000003,q_emt_000001,opt_000003,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000004,q_emt_000001,opt_000004,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000005,q_emt_000001,,teaching_point,Review Airway Assessment and repeat a linked scenario if missed twice.
rat_000006,q_emt_000002,opt_000005,incorrect_option,The distractors delay assessment or treatment.
rat_000007,q_emt_000002,opt_000006,correct,Primary assessment and life threats come before detailed history.
rat_000008,q_emt_000002,opt_000007,incorrect_option,The distractors delay assessment or treatment.
rat_000009,q_emt_000002,opt_000008,incorrect_option,The distractors delay assessment or treatment.
rat_000010,q_emt_000002,,teaching_point,Review Oxygen Delivery and repeat a linked scenario if missed twice.
rat_000011,q_emt_000003,opt_000009,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000012,q_emt_000003,opt_000010,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000013,q_emt_000003,opt_000011,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000014,q_emt_000003,opt_000012,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000015,q_emt_000003,,teaching_point,Review Bvm Ventilation and repeat a linked scenario if missed twice.
rat_000016,q_emt_000004,opt_000013,incorrect_option,The other actions delay patient-centered care.
rat_000017,q_emt_000004,opt_000014,incorrect_option,The other actions delay patient-centered care.
rat_000018,q_emt_000004,opt_000015,incorrect_option,The other actions delay patient-centered care.
rat_000019,q_emt_000004,opt_000016,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000020,q_emt_000004,,teaching_point,Review Suctioning and repeat a linked scenario if missed twice.
rat_000021,q_emt_000005,opt_000017,correct,Trends and response guide receiving care.
rat_000022,q_emt_000005,opt_000018,incorrect_option,The other options are irrelevant or unsafe.
rat_000023,q_emt_000005,opt_000019,incorrect_option,The other options are irrelevant or unsafe.
rat_000024,q_emt_000005,opt_000020,incorrect_option,The other options are irrelevant or unsafe.
rat_000025,q_emt_000005,,teaching_point,Review Adjuncts and repeat a linked scenario if missed twice.
rat_000026,q_emt_000006,opt_000021,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000027,q_emt_000006,opt_000022,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000028,q_emt_000006,opt_000023,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000029,q_emt_000006,opt_000024,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000030,q_emt_000006,,teaching_point,Review Cpap and repeat a linked scenario if missed twice.
rat_000031,q_emt_000007,opt_000025,incorrect_option,The distractors delay assessment or treatment.
rat_000032,q_emt_000007,opt_000026,correct,Primary assessment and life threats come before detailed history.
rat_000033,q_emt_000007,opt_000027,incorrect_option,The distractors delay assessment or treatment.
rat_000034,q_emt_000007,opt_000028,incorrect_option,The distractors delay assessment or treatment.
rat_000035,q_emt_000007,,teaching_point,Review Respiratory Distress and repeat a linked scenario if missed twice.
rat_000036,q_emt_000008,opt_000029,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000037,q_emt_000008,opt_000030,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000038,q_emt_000008,opt_000031,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000039,q_emt_000008,opt_000032,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000040,q_emt_000008,,teaching_point,Review Asthma Copd and repeat a linked scenario if missed twice.
rat_000041,q_emt_000009,opt_000033,incorrect_option,The other actions delay patient-centered care.
rat_000042,q_emt_000009,opt_000034,incorrect_option,The other actions delay patient-centered care.
rat_000043,q_emt_000009,opt_000035,incorrect_option,The other actions delay patient-centered care.
rat_000044,q_emt_000009,opt_000036,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000045,q_emt_000009,,teaching_point,Review Pulmonary Edema and repeat a linked scenario if missed twice.
rat_000046,q_emt_000010,opt_000037,correct,Trends and response guide receiving care.
rat_000047,q_emt_000010,opt_000038,incorrect_option,The other options are irrelevant or unsafe.
rat_000048,q_emt_000010,opt_000039,incorrect_option,The other options are irrelevant or unsafe.
rat_000049,q_emt_000010,opt_000040,incorrect_option,The other options are irrelevant or unsafe.
rat_000050,q_emt_000010,,teaching_point,Review Anaphylaxis Airway and repeat a linked scenario if missed twice.
rat_000051,q_emt_000011,opt_000041,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000052,q_emt_000011,opt_000042,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000053,q_emt_000011,opt_000043,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000054,q_emt_000011,opt_000044,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000055,q_emt_000011,,teaching_point,Review Ventilation Monitoring and repeat a linked scenario if missed twice.
rat_000056,q_emt_000012,opt_000045,incorrect_option,The distractors delay assessment or treatment.
rat_000057,q_emt_000012,opt_000046,correct,Primary assessment and life threats come before detailed history.
rat_000058,q_emt_000012,opt_000047,incorrect_option,The distractors delay assessment or treatment.
rat_000059,q_emt_000012,opt_000048,incorrect_option,The distractors delay assessment or treatment.
rat_000060,q_emt_000012,,teaching_point,Review Cardiac Anatomy and repeat a linked scenario if missed twice.
rat_000061,q_emt_000013,opt_000049,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000062,q_emt_000013,opt_000050,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000063,q_emt_000013,opt_000051,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000064,q_emt_000013,opt_000052,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000065,q_emt_000013,,teaching_point,Review Chest Pain and repeat a linked scenario if missed twice.
rat_000066,q_emt_000014,opt_000053,incorrect_option,The other actions delay patient-centered care.
rat_000067,q_emt_000014,opt_000054,incorrect_option,The other actions delay patient-centered care.
rat_000068,q_emt_000014,opt_000055,incorrect_option,The other actions delay patient-centered care.
rat_000069,q_emt_000014,opt_000056,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000070,q_emt_000014,,teaching_point,Review Acs and repeat a linked scenario if missed twice.
rat_000071,q_emt_000015,opt_000057,correct,Trends and response guide receiving care.
rat_000072,q_emt_000015,opt_000058,incorrect_option,The other options are irrelevant or unsafe.
rat_000073,q_emt_000015,opt_000059,incorrect_option,The other options are irrelevant or unsafe.
rat_000074,q_emt_000015,opt_000060,incorrect_option,The other options are irrelevant or unsafe.
rat_000075,q_emt_000015,,teaching_point,Review Heart Failure and repeat a linked scenario if missed twice.
rat_000076,q_emt_000016,opt_000061,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000077,q_emt_000016,opt_000062,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000078,q_emt_000016,opt_000063,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000079,q_emt_000016,opt_000064,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000080,q_emt_000016,,teaching_point,Review Cardiac Arrest and repeat a linked scenario if missed twice.
rat_000081,q_emt_000017,opt_000065,incorrect_option,The distractors delay assessment or treatment.
rat_000082,q_emt_000017,opt_000066,correct,Primary assessment and life threats come before detailed history.
