calc_id,taxonomy_id,calc_type,level_min,stem,formula_text,worked_solution,common_traps,difficulty_1_to_5,verification_status
calc_000001,,weight_conversion,emt,Convert 44 lb child to kg.,lb / 2.2,44 / 2.2 = 20 kg,Forgetting to convert pounds to kilograms.,1,draft
calc_000002,,mg_per_kg,aemt,A 20 kg child needs 0.01 mg/kg medication. Calculate dose.,kg x mg/kg,20 x 0.01 = 0.2 mg,Decimal placement errors.,2,draft
calc_000003,,ml_dose,aemt,Medication concentration is 1 mg/mL. Ordered dose is 0.4 mg. Calculate mL.,dose / concentration,0.4 / 1 = 0.4 mL,Confusing mg and mL.,2,draft
calc_000004,,drip_rate,paramedic,Infuse 250 mL over 30 min with 10 gtt/mL tubing. Calculate gtt/min.,mL x drop factor / minutes,250 x 10 / 30 = 83 gtt/min,Rounding too early.,3,draft
calc_000005,,pump_rate,aemt,Infuse 500 mL over 2 hr. Calculate mL/hr.,mL / hours,500 / 2 = 250 mL/hr,Using minutes as hours.,2,draft
calc_000006,,concentration,paramedic,You have 100 mg in 10 mL. Find mg/mL.,mg / mL,100 / 10 = 10 mg/mL,Wrong direction division.,2,draft
calc_000007,,weight_conversion,emt,Convert 44 lb child to kg.,lb / 2.2,44 / 2.2 = 20 kg,Forgetting to convert pounds to kilograms.,1,draft
calc_000008,,mg_per_kg,aemt,A 21 kg child needs 0.01 mg/kg medication. Calculate dose.,kg x mg/kg,20 x 0.01 = 0.2 mg,Decimal placement errors.,2,draft
calc_000009,,ml_dose,aemt,Medication concentration is 1 mg/mL. Ordered dose is 0.4 mg. Calculate mL.,dose / concentration,0.4 / 1 = 0.4 mL,Confusing mg and mL.,2,draft
calc_000010,,drip_rate,paramedic,Infuse 250 mL over 30 min with 10 gtt/mL tubing. Calculate gtt/min.,mL x drop factor / minutes,250 x 10 / 30 = 83 gtt/min,Rounding too early.,3,draft
calc_000011,,pump_rate,aemt,Infuse 500 mL over 2 hr. Calculate mL/hr.,mL / hours,500 / 2 = 250 mL/hr,Using minutes as hours.,2,draft
calc_000012,,concentration,paramedic,You have 100 mg in 10 mL. Find mg/mL.,mg / mL,100 / 10 = 10 mg/mL,Wrong direction division.,2,draft
calc_000013,,weight_conversion,emt,Convert 44 lb child to kg.,lb / 2.2,44 / 2.2 = 20 kg,Forgetting to convert pounds to kilograms.,1,draft
