objective_id,lesson_id,bloom_level,objective_text,priority_rank,assessed_by
obj_000001,les_emt_000001,apply,Apply a structured EMS assessment and management plan for airway anatomy at the EMT level.,1,scenario/question
obj_000002,les_emt_000001,analyse,Identify red flags and common pitfalls in airway anatomy scenarios.,2,question/debrief
obj_000003,les_emt_000002,apply,Apply a structured EMS assessment and management plan for airway anatomy at the EMT level.,1,scenario/question
obj_000004,les_emt_000002,analyse,Identify red flags and common pitfalls in airway anatomy scenarios.,2,question/debrief
obj_000005,les_emt_000003,apply,Apply a structured EMS assessment and management plan for airway assessment at the EMT level.,1,scenario/question
obj_000006,les_emt_000003,analyse,Identify red flags and common pitfalls in airway assessment scenarios.,2,question/debrief
obj_000007,les_emt_000004,apply,Apply a structured EMS assessment and management plan for airway assessment at the EMT level.,1,scenario/question
obj_000008,les_emt_000004,analyse,Identify red flags and common pitfalls in airway assessment scenarios.,2,question/debrief
obj_000009,les_emt_000005,apply,Apply a structured EMS assessment and management plan for oxygen delivery at the EMT level.,1,scenario/question
obj_000010,les_emt_000005,analyse,Identify red flags and common pitfalls in oxygen delivery scenarios.,2,question/debrief
obj_000011,les_emt_000006,apply,Apply a structured EMS assessment and management plan for oxygen delivery at the EMT level.,1,scenario/question
obj_000012,les_emt_000006,analyse,Identify red flags and common pitfalls in oxygen delivery scenarios.,2,question/debrief
obj_000013,les_emt_000007,apply,Apply a structured EMS assessment and management plan for bvm ventilation at the EMT level.,1,scenario/question
obj_000014,les_emt_000007,analyse,Identify red flags and common pitfalls in bvm ventilation scenarios.,2,question/debrief
obj_000015,les_emt_000008,apply,Apply a structured EMS assessment and management plan for bvm ventilation at the EMT level.,1,scenario/question
obj_000016,les_emt_000008,analyse,Identify red flags and common pitfalls in bvm ventilation scenarios.,2,question/debrief
obj_000017,les_emt_000009,apply,Apply a structured EMS assessment and management plan for suctioning at the EMT level.,1,scenario/question
obj_000018,les_emt_000009,analyse,Identify red flags and common pitfalls in suctioning scenarios.,2,question/debrief
obj_000019,les_emt_000010,apply,Apply a structured EMS assessment and management plan for suctioning at the EMT level.,1,scenario/question
obj_000020,les_emt_000010,analyse,Identify red flags and common pitfalls in suctioning scenarios.,2,question/debrief
obj_000021,les_emt_000011,apply,Apply a structured EMS assessment and management plan for adjuncts at the EMT level.,1,scenario/question
obj_000022,les_emt_000011,analyse,Identify red flags and common pitfalls in adjuncts scenarios.,2,question/debrief
obj_000023,les_emt_000012,apply,Apply a structured EMS assessment and management plan for adjuncts at the EMT level.,1,scenario/question
obj_000024,les_emt_000012,analyse,Identify red flags and common pitfalls in adjuncts scenarios.,2,question/debrief
obj_000025,les_emt_000013,apply,Apply a structured EMS assessment and management plan for cpap at the EMT level.,1,scenario/question
obj_000026,les_emt_000013,analyse,Identify red flags and common pitfalls in cpap scenarios.,2,question/debrief
obj_000027,les_emt_000014,apply,Apply a structured EMS assessment and management plan for cpap at the EMT level.,1,scenario/question
obj_000028,les_emt_000014,analyse,Identify red flags and common pitfalls in cpap scenarios.,2,question/debrief
obj_000029,les_emt_000015,apply,Apply a structured EMS assessment and management plan for respiratory distress at the EMT level.,1,scenario/question
obj_000030,les_emt_000015,analyse,Identify red flags and common pitfalls in respiratory distress scenarios.,2,question/debrief
obj_000031,les_emt_000016,apply,Apply a structured EMS assessment and management plan for respiratory distress at the EMT level.,1,scenario/question
obj_000032,les_emt_000016,analyse,Identify red flags and common pitfalls in respiratory distress scenarios.,2,question/debrief
obj_000033,les_emt_000017,apply,Apply a structured EMS assessment and management plan for asthma copd at the EMT level.,1,scenario/question
obj_000034,les_emt_000017,analyse,Identify red flags and common pitfalls in asthma copd scenarios.,2,question/debrief
obj_000035,les_emt_000018,apply,Apply a structured EMS assessment and management plan for asthma copd at the EMT level.,1,scenario/question
obj_000036,les_emt_000018,analyse,Identify red flags and common pitfalls in asthma copd scenarios.,2,question/debrief
obj_000037,les_emt_000019,apply,Apply a structured EMS assessment and management plan for pulmonary edema at the EMT level.,1,scenario/question
obj_000038,les_emt_000019,analyse,Identify red flags and common pitfalls in pulmonary edema scenarios.,2,question/debrief
obj_000039,les_emt_000020,apply,Apply a structured EMS assessment and management plan for pulmonary edema at the EMT level.,1,scenario/question
obj_000040,les_emt_000020,analyse,Identify red flags and common pitfalls in pulmonary edema scenarios.,2,question/debrief
obj_000041,les_emt_000021,apply,Apply a structured EMS assessment and management plan for anaphylaxis airway at the EMT level.,1,scenario/question
obj_000042,les_emt_000021,analyse,Identify red flags and common pitfalls in anaphylaxis airway scenarios.,2,question/debrief
obj_000043,les_emt_000022,apply,Apply a structured EMS assessment and management plan for anaphylaxis airway at the EMT level.,1,scenario/question
obj_000044,les_emt_000022,analyse,Identify red flags and common pitfalls in anaphylaxis airway scenarios.,2,question/debrief
obj_000045,les_emt_000023,apply,Apply a structured EMS assessment and management plan for ventilation monitoring at the EMT level.,1,scenario/question
obj_000046,les_emt_000023,analyse,Identify red flags and common pitfalls in ventilation monitoring scenarios.,2,question/debrief
obj_000047,les_emt_000024,apply,Apply a structured EMS assessment and management plan for ventilation monitoring at the EMT level.,1,scenario/question
obj_000048,les_emt_000024,analyse,Identify red flags and common pitfalls in ventilation monitoring scenarios.,2,question/debrief
obj_000049,les_emt_000025,apply,Apply a structured EMS assessment and management plan for cardiac anatomy at the EMT level.,1,scenario/question
obj_000050,les_emt_000025,analyse,Identify red flags and common pitfalls in cardiac anatomy scenarios.,2,question/debrief
obj_000051,les_emt_000026,apply,Apply a structured EMS assessment and management plan for cardiac anatomy at the EMT level.,1,scenario/question
obj_000052,les_emt_000026,analyse,Identify red flags and common pitfalls in cardiac anatomy scenarios.,2,question/debrief
obj_000053,les_emt_000027,apply,Apply a structured EMS assessment and management plan for chest pain at the EMT level.,1,scenario/question
obj_000054,les_emt_000027,analyse,Identify red flags and common pitfalls in chest pain scenarios.,2,question/debrief
obj_000055,les_emt_000028,apply,Apply a structured EMS assessment and management plan for chest pain at the EMT level.,1,scenario/question
obj_000056,les_emt_000028,analyse,Identify red flags and common pitfalls in chest pain scenarios.,2,question/debrief
obj_000057,les_emt_000029,apply,Apply a structured EMS assessment and management plan for acs at the EMT level.,1,scenario/question
obj_000058,les_emt_000029,analyse,Identify red flags and common pitfalls in acs scenarios.,2,question/debrief
obj_000059,les_emt_000030,apply,Apply a structured EMS assessment and management plan for acs at the EMT level.,1,scenario/question
obj_000060,les_emt_000030,analyse,Identify red flags and common pitfalls in acs scenarios.,2,question/debrief
obj_000061,les_emt_000031,apply,Apply a structured EMS assessment and management plan for heart failure at the EMT level.,1,scenario/question
obj_000062,les_emt_000031,analyse,Identify red flags and common pitfalls in heart failure scenarios.,2,question/debrief
obj_000063,les_emt_000032,apply,Apply a structured EMS assessment and management plan for heart failure at the EMT level.,1,scenario/question
obj_000064,les_emt_000032,analyse,Identify red flags and common pitfalls in heart failure scenarios.,2,question/debrief
obj_000065,les_emt_000033,apply,Apply a structured EMS assessment and management plan for cardiac arrest at the EMT level.,1,scenario/question
obj_000066,les_emt_000033,analyse,Identify red flags and common pitfalls in cardiac arrest scenarios.,2,question/debrief
obj_000067,les_emt_000034,apply,Apply a structured EMS assessment and management plan for cardiac arrest at the EMT level.,1,scenario/question
obj_000068,les_emt_000034,analyse,Identify red flags and common pitfalls in cardiac arrest scenarios.,2,question/debrief
obj_000069,les_emt_000035,apply,Apply a structured EMS assessment and management plan for bradycardia at the EMT level.,1,scenario/question
obj_000070,les_emt_000035,analyse,Identify red flags and common pitfalls in bradycardia scenarios.,2,question/debrief
obj_000071,les_emt_000036,apply,Apply a structured EMS assessment and management plan for bradycardia at the EMT level.,1,scenario/question
obj_000072,les_emt_000036,analyse,Identify red flags and common pitfalls in bradycardia scenarios.,2,question/debrief
obj_000073,les_emt_000037,apply,Apply a structured EMS assessment and management plan for tachycardia at the EMT level.,1,scenario/question
obj_000074,les_emt_000037,analyse,Identify red flags and common pitfalls in tachycardia scenarios.,2,question/debrief
obj_000075,les_emt_000038,apply,Apply a structured EMS assessment and management plan for tachycardia at the EMT level.,1,scenario/question
obj_000076,les_emt_000038,analyse,Identify red flags and common pitfalls in tachycardia scenarios.,2,question/debrief
obj_000077,les_emt_000039,apply,Apply a structured EMS assessment and management plan for shockable rhythms at the EMT level.,1,scenario/question
obj_000078,les_emt_000039,analyse,Identify red flags and common pitfalls in shockable rhythms scenarios.,2,question/debrief
obj_000079,les_emt_000040,apply,Apply a structured EMS assessment and management plan for shockable rhythms at the EMT level.,1,scenario/question
obj_000080,les_emt_000040,analyse,Identify red flags and common pitfalls in shockable rhythms scenarios.,2,question/debrief
obj_000081,les_emt_000041,apply,Apply a structured EMS assessment and management plan for ecg basics at the EMT level.,1,scenario/question
obj_000082,les_emt_000041,analyse,Identify red flags and common pitfalls in ecg basics scenarios.,2,question/debrief
obj_000083,les_emt_000042,apply,Apply a structured EMS assessment and management plan for ecg basics at the EMT level.,1,scenario/question
obj_000084,les_emt_000042,analyse,Identify red flags and common pitfalls in ecg basics scenarios.,2,question/debrief
obj_000085,les_emt_000043,apply,Apply a structured EMS assessment and management plan for twelve lead at the EMT level.,1,scenario/question
obj_000086,les_emt_000043,analyse,Identify red flags and common pitfalls in twelve lead scenarios.,2,question/debrief
obj_000087,les_emt_000044,apply,Apply a structured EMS assessment and management plan for twelve lead at the EMT level.,1,scenario/question
obj_000088,les_emt_000044,analyse,Identify red flags and common pitfalls in twelve lead scenarios.,2,question/debrief
obj_000089,les_emt_000045,apply,Apply a structured EMS assessment and management plan for stemi recognition at the EMT level.,1,scenario/question
obj_000090,les_emt_000045,analyse,Identify red flags and common pitfalls in stemi recognition scenarios.,2,question/debrief
